,DescriptorId,DescriptorName,DateCreated,DateRevised,DateEstablished,Descriptor_dcid
9817,D007639,"Keratoconjunctivitis, Infectious",1985-06-05,2019-06-10,1986-01-01,bio/D007639
9818,D007640,Keratoconus,1999-01-01,2009-07-06,1966-01-01,bio/D007640
9819,D007641,Keratolytic Agents,1999-01-01,2005-06-30,1991-01-01,bio/D007641
9820,D007642,Keratosis,1999-01-01,1997-06-20,1960-01-01,bio/D007642
9821,D007644,Darier Disease,1999-01-01,2015-06-18,2009-01-01,bio/D007644
9822,D007645,"Keratoderma, Palmoplantar",1999-01-01,2015-06-18,1974-01-01,bio/D007645
9823,D007646,"Keratotomy, Radial",1986-06-20,2007-07-09,1987-01-01,bio/D007646
9824,D007647,Kernicterus,1999-01-01,2013-07-09,1966-01-01,bio/D007647
9825,D007648,Kerosene,1999-01-01,2008-07-08,1991-01-01,bio/D007648
9826,D007649,Ketamine,1999-01-01,2013-07-08,1973-01-01,bio/D007649
9827,D007650,Ketanserin,1986-04-09,2016-05-31,1987-01-01,bio/D007650
9828,D007651,Keto Acids,1999-01-01,2015-11-24,1966-01-01,bio/D007651
9829,D007652,Oxo-Acid-Lyases,1999-01-01,2006-07-05,1973-01-01,bio/D007652
9830,D007653,Ketocholesterols,1979-02-21,2016-06-06,1991-01-01,bio/D007653
9831,D007654,Ketoconazole,1983-03-11,2017-05-24,1984-01-01,bio/D007654
9832,D007655,Ketoglutarate Dehydrogenase Complex,1999-01-01,2005-06-30,1991-01-01,bio/D007655
9833,D007656,Ketoglutaric Acids,1999-01-01,2018-07-02,1975-01-01,bio/D007656
9834,D007657,Ketone Bodies,1999-01-01,2010-06-25,1966-01-01,bio/D007657
9835,D007658,Ketone Oxidoreductases,1999-01-01,2005-06-30,1973-01-01,bio/D007658
9836,D007659,Ketones,1999-01-01,2020-05-27,1966-01-01,bio/D007659
9837,D007660,Ketoprofen,1974-11-19,2013-07-08,1990-01-01,bio/D007660
9838,D007661,Ketoses,1999-01-01,2020-05-27,1974-01-01,bio/D007661
9839,D007662,Ketosis,1999-01-01,2013-07-08,1991-01-01,bio/D007662
9840,D007664,Ketosteroids,1999-01-01,2016-05-31,1974-01-01,bio/D007664
9841,D007665,Ketotifen,1981-05-13,2016-05-31,1982-01-01,bio/D007665
9842,D007666,Khellin,1999-01-01,2016-05-31,1966-01-01,bio/D007666
9843,D007667,Kidd Blood-Group System,1975-07-25,2005-06-30,1991-01-01,bio/D007667
9844,D007668,Kidney,1999-01-01,2016-07-05,1960-01-01,bio/D007668
9845,D007669,Kidney Calculi,1999-01-01,2012-07-03,1966-01-01,bio/D007669
9846,D007670,Kidney Calices,1999-01-01,1995-03-13,1991-01-01,bio/D007670
9847,D007671,Kidney Concentrating Ability,1999-01-01,2008-07-08,1970-01-01,bio/D007671
9848,D007672,Kidney Cortex,1999-01-01,1999-11-03,1974-01-01,bio/D007672
9849,D007673,Kidney Cortex Necrosis,1999-01-01,2006-07-05,1967-01-01,bio/D007673
9850,D007674,Kidney Diseases,1999-01-01,2006-07-05,1966-01-01,bio/D007674
9851,D007676,"Kidney Failure, Chronic",1999-01-01,2010-06-25,1967-01-01,bio/D007676
9852,D007677,Kidney Function Tests,1999-01-01,2015-05-22,1966-01-01,bio/D007677
9853,D007678,Kidney Glomerulus,1999-01-01,2006-07-05,1966-01-01,bio/D007678
9854,D007679,Kidney Medulla,1999-01-01,1991-01-07,1979-01-01,bio/D007679
9855,D007680,Kidney Neoplasms,1999-01-01,2009-07-06,1966-01-01,bio/D007680
9856,D007681,Kidney Papillary Necrosis,1999-01-01,2006-07-05,1967-01-01,bio/D007681
9857,D007682,Kidney Pelvis,1999-01-01,2006-07-05,1966-01-01,bio/D007682
9858,D007683,"Kidney Tubular Necrosis, Acute",1999-01-01,2010-06-25,1991-01-01,bio/D007683
9859,D007684,Kidney Tubules,1999-01-01,2006-07-05,1966-01-01,bio/D007684
9860,D007685,"Kidney Tubules, Collecting",1978-01-23,2006-07-05,1991-01-01,bio/D007685
9861,D007686,"Kidney Tubules, Distal",1999-01-01,2005-06-30,1991-01-01,bio/D007686
9862,D007687,"Kidney Tubules, Proximal",1999-01-01,2005-06-30,1974-01-01,bio/D007687
9863,D007688,"Kidneys, Artificial",1999-01-01,2012-07-03,2013-01-01,bio/D007688
9864,D007690,Polycystic Kidney Diseases,1999-01-01,2017-12-14,1991-01-01,bio/D007690
9865,D007691,Medullary Sponge Kidney,1999-01-01,2009-07-06,1965-01-01,bio/D007691
9866,D007692,Diatomaceous Earth,1999-01-01,2016-06-28,1991-01-01,bio/D007692
9867,D007694,"Killer Cells, Natural",1982-04-29,2013-07-09,1983-01-01,bio/D007694
9868,D007695,Killifishes,1974-12-12,2020-08-13,1991-01-01,bio/D007695
9869,D007696,"Kindling, Neurologic",1981-02-24,2016-06-23,1982-01-01,bio/D007696
9870,D007697,Kinesics,1999-01-01,2010-06-25,1968-01-01,bio/D007697
9871,D007698,Kinesis,1999-01-01,2016-05-31,1991-01-01,bio/D007698
9872,D007699,Kinesthesis,1999-01-01,2016-06-23,1966-01-01,bio/D007699
9873,D007700,Kinetics,1999-01-01,2016-06-17,1966-01-01,bio/D007700
9874,D007701,Kinetin,1999-01-01,2016-05-31,1991-01-01,bio/D007701
9875,D007702,Kinetocardiography,1999-01-01,1999-11-03,1967-01-01,bio/D007702
9876,D007703,Peptidyl-Dipeptidase A,1999-01-01,2020-06-09,1974-01-01,bio/D007703
9877,D007704,Kininogens,1999-01-01,2006-07-05,1974-01-01,bio/D007704
9878,D007705,Kinins,1999-01-01,2020-05-27,1966-01-01,bio/D007705
9879,D007706,Menkes Kinky Hair Syndrome,1976-05-05,2019-07-11,1991-01-01,bio/D007706
9880,D007707,Kyrgyzstan,1999-01-01,2017-07-17,1993-01-01,bio/D007707
9881,D007708,Kirsten murine sarcoma virus,1979-04-18,2020-08-13,1991-01-01,bio/D007708
9882,D007709,Klebsiella,1999-01-01,2020-08-13,1966-01-01,bio/D007709
9883,D007710,Klebsiella Infections,1999-01-01,2019-06-17,1968-01-01,bio/D007710
9884,D007711,Klebsiella pneumoniae,1999-01-01,2020-08-13,1974-01-01,bio/D007711
9885,D007713,Klinefelter Syndrome,1999-01-01,2016-06-28,1966-01-01,bio/D007713
9886,D007714,Klippel-Feil Syndrome,1999-01-01,2013-07-08,1966-01-01,bio/D007714
9887,D007715,Klippel-Trenaunay-Weber Syndrome,1999-01-01,2013-07-08,1991-01-01,bio/D007715
9888,D007716,Kluyveromyces,1985-02-07,2020-08-13,1991-01-01,bio/D007716
9889,D007717,Knee,1999-01-01,2015-06-16,1966-01-01,bio/D007717
9890,D007718,Knee Injuries,1999-01-01,2010-06-25,1966-01-01,bio/D007718
9891,D007719,Knee Joint,1999-01-01,2015-06-16,1965-01-01,bio/D007719
9892,D007720,Knee Prosthesis,1978-12-19,1997-06-20,1980-01-01,bio/D007720
9893,D007721,"Knowledge of Results, Psychological",1999-01-01,2019-01-18,1965-01-01,bio/D007721
9894,D007722,"Health Knowledge, Attitudes, Practice",1974-11-11,2011-06-24,1990-01-01,bio/D007722
9895,D007723,Korea,1999-01-01,2009-07-13,1966-01-01,bio/D007723
9896,D007724,Vulvar Lichen Sclerosus,1999-01-01,2006-07-05,2006-01-01,bio/D007724
9897,D007725,Krukenberg Tumor,1974-11-19,2009-07-06,1975-09-01,bio/D007725
9898,D007726,Krypton,1999-01-01,2017-07-03,1966-01-01,bio/D007726
9899,D007727,Krypton Radioisotopes,1987-04-08,2017-07-03,1988-01-01,bio/D007727
9900,D007728,Kupffer Cells,1999-01-01,2020-05-27,1973-01-01,bio/D007728
9901,D007729,Kuru,1999-01-01,2019-06-17,1966-01-01,bio/D007729
9902,D007730,Kuwait,1999-01-01,2016-12-22,1966-01-01,bio/D007730
9903,D007731,Kveim Test,1974-12-12,2015-06-05,1991-01-01,bio/D007731
9904,D007732,Kwashiorkor,1999-01-01,2014-10-16,1966-01-01,bio/D007732
9905,D007733,Kyasanur Forest Disease,1974-11-11,2019-06-10,1978-01-01,bio/D007733
9906,D007734,Kymography,1999-01-01,1999-11-03,1966-01-01,bio/D007734
9907,D007735,Kynuramine,1974-11-19,2017-06-20,1991-01-01,bio/D007735
9908,D007736,Kynurenic Acid,1999-01-01,2016-05-31,1966-01-01,bio/D007736
9909,D007737,Kynurenine,1999-01-01,2017-02-08,1966-01-01,bio/D007737
9910,D007738,Kyphosis,1999-01-01,2019-02-22,1966-01-01,bio/D007738
9911,D007739,L Cells,1999-01-01,2019-06-25,1966-01-01,bio/D007739
9912,D007740,L Forms,1999-01-01,2020-09-02,1966-01-01,bio/D007740
9913,D007741,Labetalol,1974-11-19,2016-07-01,1986-01-01,bio/D007741
9914,D007742,Labial Frenum,1999-01-01,2016-07-05,1965-01-01,bio/D007742
9915,D007743,"Labor, Obstetric",1999-01-01,2016-06-17,2003-01-01,bio/D007743
9916,D007744,Obstetric Labor Complications,1999-01-01,2009-07-06,1964-01-01,bio/D007744
9917,D007745,Labor Onset,1974-11-11,2016-06-17,1991-01-01,bio/D007745
9918,D007746,Labor Presentation,1999-01-01,2016-06-17,1966-01-01,bio/D007746
9919,D007747,"Labor Stage, First",1974-11-11,2016-06-17,1991-01-01,bio/D007747
9920,D007748,"Labor Stage, Second",1974-11-11,2016-06-17,1991-01-01,bio/D007748
9921,D007749,"Labor Stage, Third",1974-11-11,2016-06-17,1991-01-01,bio/D007749
9922,D007750,Labor Unions,1999-01-01,1993-09-16,1967-01-01,bio/D007750
9923,D007751,"Labor, Induced",1999-01-01,2016-07-05,1966-01-01,bio/D007751
9924,D007752,"Obstetric Labor, Premature",1999-01-01,2012-07-03,1967-01-01,bio/D007752
9925,D007753,Laboratories,1999-01-01,2016-06-30,1966-01-01,bio/D007753
9926,D007754,"Laboratories, Dental",1999-01-01,1999-11-03,1974-01-01,bio/D007754
9927,D007755,"Laboratories, Hospital",1987-05-02,2019-07-09,1988-01-01,bio/D007755
9928,D007756,Laboratory Animal Science,1986-05-28,2008-07-08,1987-01-01,bio/D007756
9929,D007757,Laboratory Infection,1999-01-01,2019-06-17,1968-01-01,bio/D007757
9930,D007758,"Ear, Inner",1999-01-01,2018-07-02,2006-01-01,bio/D007758
9931,D007759,Labyrinth Diseases,1999-01-01,2007-07-09,1966-01-01,bio/D007759
9932,D007760,Labyrinth Supporting Cells,1978-05-19,2018-07-02,1991-01-01,bio/D007760
9933,D007761,Labyrinthine Fluids,1999-01-01,2018-07-02,1966-01-01,bio/D007761
9934,D007762,Labyrinthitis,1999-01-01,2007-07-09,1991-01-01,bio/D007762
9935,D007763,Lac Operon,1978-03-03,2013-07-08,1979-01-01,bio/D007763
9936,D007764,Lacquer,1999-01-01,2015-11-24,1991-01-01,bio/D007764
9937,D007765,Lacrimal Apparatus,1999-01-01,2015-06-22,1966-01-01,bio/D007765
9938,D007766,Lacrimal Apparatus Diseases,1975-07-25,1997-06-20,1976-01-01,bio/D007766
9939,D007767,Lacrimal Duct Obstruction,1999-01-01,2020-02-06,1966-01-01,bio/D007767
9940,D007768,Lactalbumin,1999-01-01,2019-07-08,1973-01-01,bio/D007768
9941,D007769,Lactams,1999-01-01,2020-05-27,1974-01-01,bio/D007769
9942,D007770,L-Lactate Dehydrogenase,1999-01-01,2013-07-08,2004-01-01,bio/D007770
9943,D007772,Lactate dehydrogenase-elevating virus,1999-01-01,2020-08-13,1977-01-01,bio/D007772
9944,D007773,Lactates,1999-01-01,1996-06-10,1966-01-01,bio/D007773
9945,D007774,Lactation,1999-01-01,2018-06-14,1960-01-01,bio/D007774
9946,D007775,Lactation Disorders,1999-01-01,2005-06-30,1966-01-01,bio/D007775
9947,D007777,Lactobacillaceae,1999-01-01,2020-08-13,1975-01-01,bio/D007777
9948,D007778,Lactobacillus,1999-01-01,2020-08-13,1966-01-01,bio/D007778
9949,D007779,Lactobacillus acidophilus,1999-01-01,2020-08-13,1966-01-01,bio/D007779
9950,D007780,Lactobacillus casei,1999-01-01,2020-08-13,1974-01-01,bio/D007780
9951,D007781,Lactoferrin,1999-01-01,2019-07-08,1991-01-01,bio/D007781
9952,D007782,Lactoglobulins,1999-01-01,2020-05-27,1967-01-01,bio/D007782
9953,D007783,Lactones,1999-01-01,2020-05-27,1966-01-01,bio/D007783
9954,D007784,Lactoperoxidase,1974-11-19,2003-07-09,1991-01-01,bio/D007784
9955,D007785,Lactose,1999-01-01,2017-04-10,1966-01-01,bio/D007785
9956,D007786,Lactose Factors,1977-05-09,2008-07-08,1991-01-01,bio/D007786
9957,D007787,Lactose Intolerance,1999-01-01,2013-07-08,1967-01-01,bio/D007787
9958,D007788,Lactose Synthase,1999-01-01,2015-06-12,1974-01-01,bio/D007788
9959,D007789,Lactose Tolerance Test,1999-01-01,2015-05-26,1974-01-01,bio/D007789
9960,D007790,Lactosylceramides,1978-05-16,2006-07-05,1991-01-01,bio/D007790
9961,D007791,Lactoylglutathione Lyase,1974-11-19,2016-06-28,1991-01-01,bio/D007791
9962,D007792,Lactulose,1999-01-01,2017-04-10,1991-01-01,bio/D007792
9963,D007793,Lagomorpha,1999-01-01,2020-08-13,1991-01-01,bio/D007793
9964,D007794,"Lameness, Animal",1975-07-25,2003-07-30,1976-01-01,bio/D007794
9965,D007795,Laminaria,1978-12-21,2020-09-02,1991-01-01,bio/D007795
9966,D007796,Laminectomy,1999-01-01,2017-06-20,1967-01-01,bio/D007796
9967,D007797,Laminin,1983-05-31,1996-06-10,1984-01-01,bio/D007797
9968,D007798,Lampreys,1999-01-01,2020-08-13,1991-01-01,bio/D007798
9969,D007799,Lanatosides,1999-01-01,2016-05-31,1966-01-01,bio/D007799
9970,D007801,Langerhans Cells,1999-01-01,2020-05-27,1973-01-01,bio/D007801
9971,D007802,Language,1999-01-01,2019-02-26,1966-01-01,bio/D007802
9972,D007803,Language Arts,1999-01-01,2017-06-30,1998-01-01,bio/D007803
9973,D007804,Language Development,1999-01-01,2020-05-27,1968-01-01,bio/D007804
9974,D007805,Language Development Disorders,1979-02-21,2019-07-05,1986-01-01,bio/D007805
9975,D007806,Language Disorders,1999-01-01,1999-11-03,1967-01-01,bio/D007806
9976,D007807,Language Tests,1978-05-22,2017-02-24,1979-01-01,bio/D007807
9977,D007808,Language Therapy,1979-02-21,2016-05-31,1980-01-01,bio/D007808
9978,D007809,Lanolin,1999-01-01,2007-07-09,1966-01-01,bio/D007809
9979,D007810,Lanosterol,1999-01-01,2016-05-31,1974-01-01,bio/D007810
9980,D007811,Lanthanum,1999-01-01,2017-07-03,1966-01-01,bio/D007811
9981,D007812,Laos,1999-01-01,2016-12-22,1966-01-01,bio/D007812
9982,D007813,Laparotomy,1999-01-01,2015-06-17,1966-01-01,bio/D007813
9983,D007814,Larva,1999-01-01,2016-06-17,1974-01-01,bio/D007814
9984,D007815,Larva Migrans,1999-01-01,2019-06-17,1966-01-01,bio/D007815
9985,D007816,"Larva Migrans, Visceral",1999-01-01,2019-06-17,1968-01-01,bio/D007816
9986,D007817,Laryngeal Cartilages,1999-01-01,2005-06-30,1966-01-01,bio/D007817
9987,D007818,Laryngeal Diseases,1999-01-01,2011-06-24,1966-01-01,bio/D007818
9988,D007819,Laryngeal Edema,1999-01-01,2008-07-08,1966-01-01,bio/D007819
9989,D007820,Laryngeal Mucosa,1978-05-19,2005-06-30,1991-01-01,bio/D007820
9990,D007821,Laryngeal Muscles,1978-05-19,2008-07-08,1991-01-01,bio/D007821
9991,D007822,Laryngeal Neoplasms,1999-01-01,2005-07-15,1966-01-01,bio/D007822
9992,D007823,Laryngeal Nerves,1999-01-01,2011-06-24,1965-01-01,bio/D007823
9993,D007825,Laryngectomy,1999-01-01,1997-06-20,1966-01-01,bio/D007825
9994,D007826,Laryngismus,1999-01-01,2013-07-08,1966-01-01,bio/D007826
9995,D007827,Laryngitis,1999-01-01,2019-06-17,1966-01-01,bio/D007827
9996,D007828,Laryngoscopy,1999-01-01,2010-06-25,1966-01-01,bio/D007828
9997,D007829,Laryngostenosis,1999-01-01,2008-07-08,1966-01-01,bio/D007829
9998,D007830,Larynx,1999-01-01,2011-06-24,1966-01-01,bio/D007830
9999,D007831,"Larynx, Artificial",1978-12-21,1997-06-20,1980-01-01,bio/D007831
10000,D007832,Lasalocid,1974-11-19,2016-05-31,1980-01-01,bio/D007832
10001,D007834,Lasers,1999-01-01,2018-06-29,1965-01-01,bio/D007834
10002,D007835,Lassa Fever,1976-05-19,2019-05-29,1977-01-01,bio/D007835
10003,D007836,Lassa virus,1999-01-01,2020-08-13,1991-01-01,bio/D007836
10004,D007837,"Latency Period, Psychological",1999-01-01,2019-01-18,1991-01-01,bio/D007837
10005,D007839,Functional Laterality,1999-01-01,2012-07-03,2007-01-01,bio/D007839
10006,D007840,Latex,1980-05-20,2006-07-05,1981-01-01,bio/D007840
10007,D007841,Latex Fixation Tests,1999-01-01,2011-06-24,1965-01-01,bio/D007841
10008,D007842,Lathyrism,1999-01-01,2010-06-25,1966-01-01,bio/D007842
10009,D007843,Latin America,1999-01-01,1991-11-26,1975-01-01,bio/D007843
10010,D007844,Latvia,1999-01-01,2016-12-23,1966-01-01,bio/D007844
10011,D007845,Laughter,1999-01-01,2018-06-30,1966-01-01,bio/D007845
10012,D007846,Laundering,1999-01-01,2015-11-30,1966-01-01,bio/D007846
10013,D007847,"Laundry Service, Hospital",1979-04-11,2019-07-09,1980-01-01,bio/D007847
10014,D007848,Laurates,1974-11-14,2003-07-09,1991-01-01,bio/D007848
10015,D007849,Laurence-Moon Syndrome,1999-01-01,2013-07-08,2000-01-01,bio/D007849
10016,D007850,Lauric Acids,1974-11-11,2003-07-09,1975-09-01,bio/D007850
10017,D007851,Dodecanol,1974-11-11,2013-07-08,1991-01-01,bio/D007851
10018,D007852,Lawrencium,1999-01-01,2017-04-14,1975-01-01,bio/D007852
10019,D007854,Lead,1999-01-01,2017-07-04,1966-01-01,bio/D007854
10020,D007855,Lead Poisoning,1999-01-01,2017-06-20,1966-01-01,bio/D007855
10021,D007856,Lead Radioisotopes,1987-04-08,2017-07-04,1988-01-01,bio/D007856
10022,D007857,Leadership,1999-01-01,1991-11-26,1966-01-01,bio/D007857
10023,D007858,Learning,1999-01-01,2013-07-08,1966-01-01,bio/D007858
10024,D007859,Learning Disabilities,1999-01-01,2020-06-18,1966-01-01,bio/D007859
10025,D007860,"Leasing, Property",1977-05-11,1998-06-10,1991-01-01,bio/D007860
10026,D007861,Lebanon,1999-01-01,2016-12-22,1966-01-01,bio/D007861
10027,D007862,Phosphatidylcholine-Sterol O-Acyltransferase,1974-11-11,2016-07-01,1978-01-01,bio/D007862
10028,D007863,Lecithin Cholesterol Acyltransferase Deficiency,1977-04-29,2019-07-01,1991-01-01,bio/D007863
10029,D007865,Leeches,1999-01-01,2020-08-13,1966-01-01,bio/D007865
10030,D007866,Leg,1999-01-01,2002-07-03,1963-01-01,bio/D007866
10031,D007867,Leg Bones,1999-01-01,2019-07-01,1998-01-01,bio/D007867
10032,D007868,Leg Dermatoses,1999-01-01,2003-07-09,1966-01-01,bio/D007868
10033,D007869,Leg Injuries,1999-01-01,2010-06-25,1966-01-01,bio/D007869
10034,D007870,Leg Length Inequality,1999-01-01,1999-11-03,1972-01-01,bio/D007870
10035,D007871,Leg Ulcer,1999-01-01,1997-06-20,1966-01-01,bio/D007871
10036,D007872,Legal Guardians,1977-04-22,1999-11-03,1978-01-01,bio/D007872
10037,D007873,Legg-Calve-Perthes Disease,1999-01-01,2012-07-03,1991-01-01,bio/D007873
10038,D007874,Leghemoglobin,1974-11-19,2008-07-08,1991-01-01,bio/D007874
10039,D007875,Legionella,1980-05-14,2020-08-13,1981-01-01,bio/D007875
10040,D007876,Legionellosis,1986-06-18,2019-06-17,1987-01-01,bio/D007876
10041,D007877,Legionnaires' Disease,1978-02-15,2019-06-17,1979-01-01,bio/D007877
10042,D007878,Legislation as Topic,1999-01-01,2016-12-16,2008-01-01,bio/D007878
10043,D007879,"Legislation, Dental",1999-01-01,1999-11-03,1966-01-01,bio/D007879
10044,D007880,"Legislation, Drug",1999-01-01,2008-07-10,1968-01-01,bio/D007880
10045,D007881,"Legislation, Food",1978-05-04,2019-05-10,1979-01-01,bio/D007881
10046,D007882,"Legislation, Hospital",1977-05-11,1999-11-03,1978-01-01,bio/D007882
10047,D007883,"Legislation, Medical",1999-01-01,1999-11-03,1966-01-01,bio/D007883
10048,D007884,"Legislation, Nursing",1999-01-01,1999-11-03,1966-01-01,bio/D007884
10049,D007885,"Legislation, Pharmacy",1999-01-01,2017-07-11,1968-01-01,bio/D007885
10050,D007886,"Legislation, Veterinary",1999-01-01,1999-11-03,1966-01-01,bio/D007886
10051,D007887,Fabaceae,1977-04-27,2020-08-13,1978-01-01,bio/D007887
10052,D007888,Leigh Disease,1984-04-06,2013-07-08,1991-01-01,bio/D007888
10053,D007889,Leiomyoma,1999-01-01,2012-07-03,1960-01-01,bio/D007889
10054,D007890,Leiomyosarcoma,1999-01-01,1995-06-08,1966-01-01,bio/D007890
10055,D007891,Leishmania,1999-01-01,2020-09-02,1966-01-01,bio/D007891
10056,D007892,Leishmania braziliensis,1985-03-20,2020-09-02,1991-01-01,bio/D007892
10057,D007893,Leishmania donovani,1985-03-20,2020-08-13,1986-01-01,bio/D007893
10058,D007894,Leishmania mexicana,1985-03-20,2020-08-13,1986-01-01,bio/D007894
10059,D007895,Leishmania tropica,1985-03-20,2020-08-13,1986-01-01,bio/D007895
10060,D007896,Leishmaniasis,1999-01-01,2019-06-10,1966-01-01,bio/D007896
10061,D007897,"Leishmaniasis, Mucocutaneous",1999-01-01,2019-06-10,1966-01-01,bio/D007897
10062,D007898,"Leishmaniasis, Visceral",1999-01-01,2019-06-10,1966-01-01,bio/D007898
10063,D007899,Leisure Activities,1999-01-01,1992-03-25,1970-01-01,bio/D007899
10064,D007900,Lemur,1974-11-27,2020-08-13,1991-01-01,bio/D007900
10065,D007901,Lemuridae,1980-05-07,2020-09-02,1981-01-01,bio/D007901
10066,D007902,Length of Stay,1999-01-01,2015-06-29,1972-01-01,bio/D007902
10067,D007903,"Lens Capsule, Crystalline",1982-04-28,2007-07-09,1991-01-01,bio/D007903
10068,D007904,"Lens Cortex, Crystalline",1982-04-28,2007-07-09,1991-01-01,bio/D007904
10069,D007905,Lens Diseases,1977-04-11,2015-11-24,1978-01-01,bio/D007905
10070,D007906,Lens Subluxation,1977-04-11,1992-03-25,1978-01-01,bio/D007906
10071,D007907,"Lens Nucleus, Crystalline",1982-04-28,2007-07-09,1991-01-01,bio/D007907
10072,D007908,"Lens, Crystalline",1999-01-01,2007-07-09,1966-01-01,bio/D007908
10073,D007909,Lenses,1999-01-01,2008-07-08,1966-01-01,bio/D007909
10074,D007910,"Lenses, Intraocular",1978-01-26,2017-07-07,1979-01-01,bio/D007910
10075,D007911,Lentigo,1999-01-01,2016-07-01,1966-01-01,bio/D007911
10076,D007912,Lentinan,1974-11-19,2004-07-13,1991-01-01,bio/D007912
10077,D007913,"Herpesvirus 1, Ranid",1974-12-12,2020-08-13,1991-01-01,bio/D007913
10078,D007914,Leper Colonies,1999-01-01,1999-11-03,1966-01-01,bio/D007914
10079,D007915,Lepidoptera,1999-01-01,2020-08-13,1975-01-01,bio/D007915
10080,D007916,Lepromin,1999-01-01,2005-06-30,1973-01-01,bio/D007916
10081,D007917,Leprostatic Agents,1999-01-01,2003-07-09,1975-09-01,bio/D007917
10082,D007918,Leprosy,1999-01-01,2019-06-17,1966-01-01,bio/D007918
10083,D007919,Leptospira,1999-01-01,2020-08-13,1966-01-01,bio/D007919
10084,D007921,Leptospira interrogans,1975-07-25,2020-07-24,1976-01-01,bio/D007921
10085,D007922,Leptospirosis,1999-01-01,2019-06-17,1966-01-01,bio/D007922
10086,D007925,Leriche Syndrome,1999-01-01,2007-07-09,2008-01-01,bio/D007925
10087,D007926,Lesch-Nyhan Syndrome,1999-01-01,2018-06-30,1973-01-01,bio/D007926
10088,D007927,Lesotho,1999-01-01,2008-07-08,1966-01-01,bio/D007927
10089,D007928,Lethal Dose 50,1999-01-01,2015-06-29,1976-01-01,bio/D007928
10090,D007930,Leucine,1999-01-01,2013-07-08,1966-01-01,bio/D007930
10091,D007931,Leucyl Aminopeptidase,1999-01-01,2016-06-28,1965-01-01,bio/D007931
10092,D007932,Leucogenenol,1999-01-01,2017-06-20,1991-01-01,bio/D007932
10093,D007933,Leucomycins,1975-07-25,2015-06-23,1981-01-01,bio/D007933
10094,D007934,Leuconostoc,1999-01-01,2020-08-13,1966-01-01,bio/D007934
10095,D007935,Leucine-tRNA Ligase,1974-11-19,2003-07-09,1991-01-01,bio/D007935
10096,D007937,Leukapheresis,1978-01-26,2015-06-23,1979-01-01,bio/D007937
10097,D007938,Leukemia,1999-01-01,2011-06-24,1966-01-01,bio/D007938
10098,D007939,Leukemia L1210,1999-01-01,2015-10-09,1966-01-01,bio/D007939
10099,D007940,Leukemia L5178,1978-12-20,1995-06-08,1991-01-01,bio/D007940
10100,D007941,Leukemia P388,1978-12-20,2001-07-25,1991-01-01,bio/D007941
10101,D007942,"Leukemia, Experimental",1999-01-01,2004-07-07,1966-01-01,bio/D007942
10102,D007943,"Leukemia, Hairy Cell",1977-04-27,2009-08-03,1978-01-01,bio/D007943
10103,D007945,"Leukemia, Lymphoid",1999-01-01,2007-07-09,2008-01-01,bio/D007945
10104,D007946,"Leukemia, Mast-Cell",1986-03-27,2017-06-20,1987-01-01,bio/D007946
10105,D007947,"Leukemia, Megakaryoblastic, Acute",1986-03-27,2012-07-03,1987-01-01,bio/D007947
10106,D007948,"Leukemia, Monocytic, Acute",1999-01-01,2012-07-03,1967-01-01,bio/D007948
10107,D007951,"Leukemia, Myeloid",1999-01-01,2013-07-09,1989-01-01,bio/D007951
10108,D007952,"Leukemia, Plasma Cell",1999-01-01,2009-07-06,1967-01-01,bio/D007952
10109,D007953,"Leukemia, Radiation-Induced",1999-01-01,2015-06-23,1966-01-01,bio/D007953
10110,D007955,Leukemoid Reaction,1999-01-01,1993-06-02,1966-01-01,bio/D007955
10111,D007956,Leukocidins,1999-01-01,2006-07-05,1965-01-01,bio/D007956
10112,D007957,Leukocyte Adherence Inhibition Test,1976-05-19,2011-06-24,1991-01-01,bio/D007957
10113,D007958,Leukocyte Count,1999-01-01,2016-06-17,1966-01-01,bio/D007958
10114,D007959,"Lymphocyte Culture Test, Mixed",1999-01-01,2011-06-24,1973-01-01,bio/D007959
10115,D007960,Leukocyte Disorders,1999-01-01,1997-06-20,1998-01-01,bio/D007960
10116,D007961,Leukocyte Migration-Inhibitory Factors,1979-05-01,2009-08-03,1991-01-01,bio/D007961
10117,D007962,Leukocytes,1999-01-01,2007-07-09,1966-01-01,bio/D007962
10118,D007963,"Leukocytes, Mononuclear",1987-05-07,2020-02-28,1988-01-01,bio/D007963
10119,D007964,Leukocytosis,1999-01-01,2001-07-25,1966-01-01,bio/D007964
10120,D007965,"Leukodystrophy, Globoid Cell",1999-01-01,2013-07-08,1974-01-01,bio/D007965
10121,D007966,"Leukodystrophy, Metachromatic",1999-01-01,2013-07-08,1974-01-01,bio/D007966
10122,D007967,"Leukoedema, Oral",1999-01-01,1993-06-02,1991-01-01,bio/D007967
10123,D007968,"Leukoencephalopathy, Progressive Multifocal",1999-01-01,2019-06-17,1973-01-01,bio/D007968
10124,D007969,"Leukomalacia, Periventricular",1986-06-16,2005-07-12,1991-01-01,bio/D007969
10125,D007970,Leukopenia,1999-01-01,2016-01-19,1966-01-01,bio/D007970
10126,D007971,Leukoplakia,1999-01-01,2017-07-07,1966-01-01,bio/D007971
10127,D007972,"Leukoplakia, Oral",1999-01-01,2018-06-22,1972-01-01,bio/D007972
10128,D007973,Leukorrhea,1999-01-01,2006-07-05,1966-01-01,bio/D007973
